大分類,中分類,教材コード,リリース,コース名,時間,形式,内容,"キャリアアップ
措置の種別",レッスン数,テスト有,システムID
ITスキル,プログラミング,TECH01-026,3月公開,Python & 機械学習入門コース,9:02:14,動画,本講座では、Pythonにおける機械学習の基礎について解説していきます。機械学習について、必要な数学はなにかの確認から、AI・機械学習・ディープラーニングの概念、スケーリング、モデルの構築、回帰分析など、機械学習の基礎を網羅的に学習することができます。機械学習の基本的なノウハウを身に着け、実務に生かしましょう。,職能別訓練,53,-,13740
社会人スキル,ビジネスマナー,SKIL01-001,〇,学生・新入社員のためのビジネスマナー講座,1:41:33,動画,社会人として働く上で必須となるビジネスマナーを基礎から学びます。ビジネスマナーの重要性、報連相、指示の受け方、身だしなみ、挨拶、敬語、電話応対、来客対応などの知識・スキルが身につきます。様々なビジネスシーンで相手に不快感を与えない、適切な対応ができるようになりましょう。,入職時等基礎的訓練,11,-,2297
社会人スキル,ビジネスマナー,SKIL01-002,〇,ビジネスマナーを学ぶ,1:00:00,HTML,敬語と言葉遣いの基本、名刺の扱い方や訪問・来客などの接客マナー、報連相やPDCAなどの仕事の基本的な進め方、電話とEメールのマナー、ビジネス文書のマナーなど必須のビジネスマナーについて、図表を活用しながら学びます。様々なビジネスシーンで適切な対応ができるようになりましょう。,入職時等基礎的訓練,1,〇,6447
社会人スキル,ビジネスマナー,SKIL01-005,〇,ビジネス文書の書き方,1:00:00,HTML,ビジネス文書の概説から、報告書や企画書、稟議書といった社内文書の書き方、社外文書の書き方、図やグラフ、箇条書き等わかりやすい・見やすい文書の作り方、電子メールの書き方、文書提出のタイミングを学びます。ビジネスパーソン必須のビジネス文書の書き方を基礎からマスターしましょう。,入職時等基礎的訓練,1,〇,6448
社会人スキル,ビジネスマナー,SKIL01-006,〇,意識マナー・コミュニケーション表現技術スペシャリストへの道～ビジネスマナー講座編～,0:41:10,動画,正しいビジネスマナーは円滑なコミュニケーションの第一歩です。挨拶・お辞儀の仕方、行き先を示すマナー、名刺交換、案内誘導、正しいお茶の出し方、身だしなみのポイント、冠婚葬祭のマナーといった場面ごとのビジネスマナーを、NG例も踏まえてより実践的に学んで身に着けましょう。,入職時等基礎的訓練,12,-,2343
社会人スキル,ビジネスマナー,SKIL01-007,〇,若手社員のための結果に差が出る仕事力講座,0:54:53,動画,本コースは入社半年後から3年目程度の若手社員を対象として、仕事で成果を上げるための「7つの仕事力」を学びます。業務の真の目的を考えて動く、PDCAサイクルの回し方、業務の優先順位の考え方、タイムマネジメントなど、業務を効率よく遂行するためのスキルを身に着けましょう。,入職時等基礎的訓練,4,-,6076
社会人スキル,ビジネスマナー,SKIL01-009,〇,社会人の行動のオキテ【基礎編】,0:56:35,動画,社会人に必要な意識、ビジネスマナーの重要性、職場の基本マナー（社内でのあいさつ、言葉づかい）、立ち姿勢・お辞儀のポイント、社会人にふさわしい言葉づかい（敬語の基本、間違いやすい敬語）について学びます。社会人としての心構えから理解し、正しいビジネスマナーを身に着けましょう。,入職時等基礎的訓練,11,-,6077
社会人スキル,ビジネスマナー,SKIL01-010,〇,社会人の行動のオキテ【仕事編】,0:39:57,動画,業務を遂行する上で身に着けておくべき考え方があります。本コースでは、仕事には計画・実行・修正・再実行のプロセス（PDCAサイクル）があること、上司や先輩から指示を受ける際の注意点、報告・連絡・相談の重要性を学びます。業務の進め方を身に着け、効率よく仕事をできるようになりましょう。,入職時等基礎的訓練,3,-,6078
社会人スキル,ビジネスマナー,SKIL01-013,〇,初心に帰ろう！ビジネスマナー講座,0:22:37,動画,来客対応（受付対応、ご案内、お茶出し）、顧客訪問（会社到着時のマナー、会議室でのマナー）、名刺交換（1対1、上司の紹介）、報告・連絡・相談（指示の受け方、報告、連絡、相談）、電話応対（受電マナー、伝言の受け方・受話器の置き方）を学び、ビジネスマナーをしっかり身に着けましょう。,入職時等基礎的訓練,13,-,7954
社会人スキル,ビジネスマナー,SKIL01-014,〇,（スライド）学生・新入社員のためのビジネスマナー講座,1:41:00,スライド,社会人として働く上で必須となるビジネスマナーを基礎から学びます。ビジネスマナーの重要性、報連相、指示の受け方、身だしなみ、挨拶、敬語、電話応対、来客対応などの知識・スキルが身につきます。様々なビジネスシーンで相手に不快感を与えない、適切な対応ができるようになりましょう。,入職時等基礎的訓練,1,-,3187
